nohup: ignoring input
part 0: 64228 rows
part 1: 64233 rows
part 2: 64765 rows
part 3: 64417 rows
part 4: 64434 rows
part 5: 64676 rows
part 6: 64136 rows
part 7: 64625 rows
part 8: 65118 rows
part 9: 64323 rows
part 10: 64222 rows
part 11: 64846 rows
part 12: 64544 rows
part 13: 64511 rows
part 14: 64277 rows
part 15: 64496 rows
part 16: 64383 rows
part 17: 64327 rows
part 18: 64478 rows
part 19: 64319 rows
part 20: 64667 rows
part 21: 64599 rows
part 22: 64040 rows
part 23: 64264 rows
part 24: 64821 rows
part 25: 64018 rows
part 26: 64639 rows
part 27: 64360 rows
part 28: 64575 rows
part 29: 64355 rows
part 30: 64066 rows
part 31: 64276 rows
part 32: 64632 rows
part 33: 64350 rows
part 34: 64982 rows
part 35: 64466 rows
part 36: 64158 rows
part 37: 64827 rows
part 38: 64277 rows
part 39: 64128 rows
part 40: 64757 rows
part 41: 64879 rows
part 42: 64272 rows
part 43: 64503 rows
part 44: 64190 rows
part 45: 64673 rows
part 46: 64305 rows
part 47: 64248 rows
part 48: 64210 rows
part 49: 64754 rows
part 50: 64568 rows
part 51: 64338 rows
part 52: 64573 rows
part 53: 64662 rows
part 54: 64514 rows
part 55: 64876 rows
part 56: 64328 rows
part 57: 64337 rows
part 58: 64600 rows
part 59: 64230 rows
part 60: 64421 rows
part 61: 64298 rows
part 62: 64488 rows
part 63: 64316 rows
part 64: 64459 rows
part 65: 64224 rows
part 66: 64558 rows
part 67: 64441 rows
part 68: 64370 rows
part 69: 64129 rows
part 70: 64658 rows
part 71: 64648 rows
part 72: 64780 rows
part 73: 64783 rows
part 74: 64593 rows
part 75: 64353 rows
part 76: 64433 rows
part 77: 64599 rows
part 78: 64330 rows
part 79: 64384 rows
part 80: 64590 rows
part 81: 64508 rows
part 82: 64757 rows
part 83: 64198 rows
part 84: 64618 rows
part 85: 64938 rows
part 86: 64322 rows
part 87: 64343 rows
part 88: 64499 rows
part 89: 64438 rows
part 90: 64484 rows
part 91: 64358 rows
part 92: 64648 rows
part 93: 64567 rows
part 94: 64678 rows
part 95: 64750 rows
part 96: 64389 rows
part 97: 64631 rows
part 98: 64213 rows
part 99: 64443 rows
part 100: 64492 rows
part 101: 64350 rows
part 102: 64943 rows
part 103: 64598 rows
part 104: 64385 rows
part 105: 64394 rows
part 106: 64644 rows
part 107: 64453 rows
part 108: 64122 rows
part 109: 64455 rows
part 110: 64671 rows
part 111: 64398 rows
part 112: 64668 rows
part 113: 64064 rows
part 114: 64418 rows
part 115: 64712 rows
part 116: 64438 rows
part 117: 63953 rows
part 118: 64414 rows
part 119: 64755 rows
part 120: 64507 rows
part 121: 64871 rows
part 122: 64517 rows
part 123: 64443 rows
part 124: 64593 rows
part 125: 64772 rows
part 126: 64508 rows
part 127: 64848 rows
part 128: 64760 rows
part 129: 64406 rows
part 130: 64830 rows
part 131: 64397 rows
part 132: 64753 rows
part 133: 64741 rows
part 134: 64064 rows
part 135: 64723 rows
part 136: 64171 rows
part 137: 64275 rows
part 138: 64461 rows
part 139: 64440 rows
part 140: 64688 rows
part 141: 63939 rows
part 142: 63895 rows
part 143: 64381 rows
part 144: 64653 rows
part 145: 64565 rows
part 146: 64163 rows
part 147: 64587 rows
part 148: 64432 rows
part 149: 64299 rows
part 150: 64225 rows
part 151: 64750 rows
part 152: 64415 rows
part 153: 64621 rows
part 154: 64386 rows
part 155: 64559 rows
part 156: 64373 rows
part 157: 64295 rows
part 158: 64492 rows
part 159: 64280 rows
part 160: 64388 rows
part 161: 64515 rows
part 162: 64637 rows
part 163: 64566 rows
part 164: 64866 rows
part 165: 64649 rows
part 166: 64598 rows
part 167: 64425 rows
part 168: 64317 rows
part 169: 64720 rows
part 170: 64261 rows
part 171: 64859 rows
part 172: 64637 rows
part 173: 64630 rows
part 174: 64393 rows
part 175: 64339 rows
part 176: 64703 rows
part 177: 64564 rows
part 178: 64051 rows
part 179: 64635 rows
part 180: 64118 rows
part 181: 64281 rows
part 182: 64725 rows
part 183: 64493 rows
part 184: 64355 rows
part 185: 64490 rows
part 186: 64770 rows
part 187: 64786 rows
part 188: 64646 rows
part 189: 64826 rows
part 190: 64557 rows
part 191: 64635 rows
part 192: 64619 rows
part 193: 64980 rows
part 194: 64506 rows
part 195: 64326 rows
part 196: 64456 rows
part 197: 64638 rows
part 198: 64737 rows
part 199: 64616 rows
part 200: 64577 rows
part 201: 64689 rows
part 202: 64561 rows
part 203: 64357 rows
part 204: 64303 rows
part 205: 64471 rows
part 206: 64614 rows
part 207: 64555 rows
part 208: 64368 rows
part 209: 64528 rows
part 210: 64668 rows
part 211: 64652 rows
part 212: 64445 rows
part 213: 64777 rows
part 214: 64358 rows
part 215: 64293 rows
part 216: 64166 rows
part 217: 64436 rows
part 218: 63910 rows
part 219: 64448 rows
part 220: 64584 rows
part 221: 64589 rows
part 222: 64915 rows
part 223: 64414 rows
part 224: 64577 rows
part 225: 64554 rows
part 226: 64533 rows
part 227: 64088 rows
part 228: 64387 rows
part 229: 64302 rows
part 230: 64678 rows
part 231: 64154 rows
part 232: 64720 rows
part 233: 64446 rows
part 234: 64293 rows
part 235: 64570 rows
part 236: 64503 rows
part 237: 64327 rows
part 238: 64263 rows
part 239: 64855 rows
part 240: 64351 rows
part 241: 64392 rows
part 242: 64599 rows
part 243: 64389 rows
part 244: 64788 rows
part 245: 64455 rows
part 246: 64280 rows
part 247: 63890 rows
part 248: 64198 rows
part 249: 63972 rows
part 250: 64496 rows
part 251: 64232 rows
part 252: 64418 rows
part 253: 64522 rows
part 254: 64528 rows
part 255: 64778 rows
part 256: 64475 rows
part 257: 64490 rows
part 258: 64301 rows
part 259: 64330 rows
part 260: 64613 rows
part 261: 65064 rows
part 262: 64354 rows
part 263: 64523 rows
part 264: 64412 rows
part 265: 64050 rows
part 266: 64478 rows
part 267: 64579 rows
part 268: 64238 rows
